observation_time,station_id,raw_text,latitude,longitude,temp_c,dewpoint_c,wind_dir_degrees,wind_speed_kt,wind_gust_kt,visibility_statute_mi,altim_in_hg,flight_category,sky_cover,cloud_base_ft_agl
2024-02-27T10:54:00Z,KBTV,KBTV 271054Z 18010KT 10SM FEW250 05/M03 A2994 RMK AO2 SLP141 T00501028,44.4683,-73.1499,5,-2.8,180,10,,10+,29.94,VFR,a few ,25000
2024-02-27T11:54:00Z,KBTV,KBTV 271154Z 19010KT 10SM FEW250 05/M03 A2993 RMK AO2 SLP139 T00501028 10056 21022 56008,44.4683,-73.1499,5,-2.8,190,10,,10+,29.93,VFR,a few ,25000
2024-02-27T12:54:00Z,KBTV,KBTV 271254Z 19012KT 10SM FEW250 07/M02 A2993 RMK AO2 SLP139 T00671022,44.4683,-73.1499,6.7,-2.2,190,12,,10+,29.93,VFR,a few ,25000
2024-02-27T13:54:00Z,KBTV,KBTV 271354Z 19017G20KT 10SM CLR 09/M02 A2993 RMK AO2 SLP137 T00891017,44.4683,-73.1499,8.9,-1.7,190,17,20,10+,29.93,VFR,clear,
2024-02-27T14:54:00Z,KBTV,KBTV 271454Z 20017G22KT 10SM CLR 11/M02 A2992 RMK AO2 SLP134 T01061017 58005,44.4683,-73.1499,10.6,-1.7,200,17,22,10+,29.92,VFR,clear,
2024-02-27T15:54:00Z,KBTV,KBTV 271554Z 19015G22KT 10SM SCT250 13/M01 A2990 RMK AO2 SLP128 T01331011,44.4683,-73.1499,13.3,-1.1,190,15,22,10+,29.9,VFR,scattered ,25000
2024-02-27T16:54:00Z,KBTV,KBTV 271654Z 20017G27KT 10SM FEW180 SCT250 15/M01 A2987 RMK AO2 PK WND 18029/1640 SLP117 T01501006,44.4683,-73.1499,15,-0.6,200,17,27,10+,29.87,VFR,a few ,18000
2024-02-27T17:54:00Z,KBTV,KBTV 271754Z 19014G23KT 10SM FEW090 SCT220 16/00 A2983 RMK AO2 PK WND 20029/1709 SLP105 T01560000 10161 20044 58028,44.4683,-73.1499,15.6,0,190,14,23,10+,29.83,VFR,a few ,9000
2024-02-27T18:54:00Z,KBTV,KBTV 271854Z 20013G22KT 10SM FEW090 SCT220 17/01 A2980 RMK AO2 SLP094 T01720006,44.4683,-73.1499,17.2,0.6,200,13,22,10+,29.8,VFR,a few ,9000
2024-02-27T19:54:00Z,KBTV,KBTV 271954Z 19012KT 10SM FEW110 SCT250 18/01 A2978 RMK AO2 SLP085 T01830011,44.4683,-73.1499,18.3,1.1,190,12,,10+,29.78,VFR,a few ,11000
2024-02-27T20:54:00Z,KBTV,KBTV 272054Z 19012G20KT 10SM FEW120 SCT250 18/01 A2976 RMK AO2 SLP080 T01830011 56023,44.4683,-73.1499,18.3,1.1,190,12,20,10+,29.76,VFR,a few ,12000
2024-02-27T21:54:00Z,KBTV,KBTV 272154Z 14008KT 10SM FEW120 SCT250 15/01 A2976 RMK AO2 SLP079 T01500006,44.4683,-73.1499,15,0.6,140,8,,10+,29.76,VFR,a few ,12000
2024-02-27T22:54:00Z,KBTV,KBTV 272254Z 15006KT 10SM FEW120 BKN180 12/01 A2975 RMK AO2 SLP077 T01220006,44.4683,-73.1499,12.2,0.6,150,6,,10+,29.75,VFR,a few ,12000
2024-02-27T23:54:00Z,KBTV,KBTV 272354Z 15008KT 10SM BKN180 12/01 A2974 RMK AO2 SLP072 T01220011 10183 20122 58008,44.4683,-73.1499,12.2,1.1,150,8,,10+,29.74,VFR,broken ,18000
2024-02-28T00:54:00Z,KBTV,KBTV 280054Z 15008KT 10SM BKN250 12/01 A2973 RMK AO2 SLP070 T01220011,44.4683,-73.1499,12.2,1.1,150,8,,10+,29.73,VFR,broken ,25000
2024-02-28T01:54:00Z,KBTV,KBTV 280154Z 18010KT 10SM SCT055 BKN240 15/02 A2973 RMK AO2 SLP068 T01500017,44.4683,-73.1499,15,1.7,180,10,,10+,29.73,VFR,scattered ,5500
2024-02-28T02:54:00Z,KBTV,KBTV 280254Z 19020G29KT 10SM FEW060 BKN085 BKN200 15/02 A2972 RMK AO2 PK WND 20029/0253 SLP064 T01500022 58007,44.4683,-73.1499,15,2.2,190,20,29,10+,29.72,VFR,a few ,6000
2024-02-28T03:54:00Z,KBTV,KBTV 280354Z 20014KT 10SM BKN055 BKN070 BKN160 OVC200 14/03 A2970 RMK AO2 PK WND 18030/0306 SLP057 T01390033,44.4683,-73.1499,13.9,3.3,200,14,,10+,29.7,VFR,broken ,5500
